Mo,Da,Hr,Space_Heating_cz1_themrs,Water_Heating_cz1_therms,Space_Heating_cz1_kWh,Water_Heating_cz1_kWh,Space_Heating_cz6_kWh,Space_Heating_cz6_kWh,Water_Heating_cz6_kWh
1,18,9,0.105113,0.0105132,0.070522,0,0.0348441,0,0
1,18,10,0.0869048,0.00940933,0.0582969,0,0.0274606,0,0.600176
1,18,11,0.0720491,0.00130535,0.0483028,0,0.0230117,0,2.27364
1,18,12,0.0568678,0,0.0380539,0,0.0077995,0,0
1,18,13,0.0484628,0,0.0323801,0,8.59E-06,0,0
1,18,14,0.0444972,0.00563544,0.0297087,0,0,0,0
1,18,15,0.0467759,0.00316196,0.03126,0,0,0,0
1,18,16,0.0376722,0.00226706,0.0251058,0,0,0,0
1,18,17,0.0449831,0,0.0300598,0,0,0,0
1,18,18,0.0408627,0.000412844,0.0272698,0,5.45E-05,0,0
1,18,19,0.0365534,0.128629,0.0243597,3.10038,0,0,0
1,18,20,0.0355945,0,0.0236163,0,0.000138364,0,0
1,18,21,0.0376769,0,0.025022,0,0.00257001,0,0
1,18,22,0.0403428,0,0.0268298,0,0.00671717,0,0
1,18,23,0.0471123,0,0.0314203,0,0.0130258,0,0
1,18,24,0,0.00988876,0,0,0,0,0
1,19,1,0,0.24046,0,3.15091,0,0,3.52603
1,19,2,0,0,0,0.223118,0,0,1.087
1,19,3,0,0,0,0,0,0,0
1,19,4,0,0,0,0,0,0,0
1,19,5,0,0,0,0,0,0,0
1,19,6,0,0.00417962,0,0,0,0,0
1,19,7,0.0651421,0,0.0421697,0,0,0,0
1,19,8,0.21591,0,0.145303,0,0.0908971,0,0
1,19,9,0.108147,0.0956918,0.0725363,0,0.0206755,0,0
1,19,10,0.0881362,0.102255,0.05917,2.10062,0.00304982,0,0.900264
1,19,11,0.0721843,0.0314712,0.0483329,0.905021,0,0,1.95512
1,19,12,0.0596007,0,0.0398385,0,0,0,0
1,19,13,0.0556694,0.0186964,0.0372011,0,0,0,0
1,19,14,0.0543533,0.0245011,0.0363382,0,0,0,0
1,19,15,0.0486421,0.00145269,0.0324968,0,0,0,0
1,19,16,0.0495822,0.0132405,0.033146,0,0,0,0
1,19,17,0.0525832,0.285613,0.0352016,0.450132,0,0,0.375111
1,19,18,0.0490104,0.25883,0.0330117,4.70899,0,0,4.56303
1,19,19,0.0451281,0.00964156,0.0301665,3.1738,0,0,1.90572
1,19,20,0.0440869,0,0.0293781,0,0,0,0
1,19,21,0.046249,0.00603958,0.0308388,0,0,0,0
